#	15000	0.001000	15.000000
   0.00100	2.5577517766597485e+12	4.2635696150962700e+10
   0.00200	2.3851238600902021e+12	4.0077944374302948e+10
   0.00300	2.2247480754712900e+12	3.7692820514212746e+10
   0.00400	2.0757703530417715e+12	3.5468072438741455e+10
   0.00500	1.9374230705409556e+12	3.3392302085699680e+10
   0.00600	1.8094765645398845e+12	3.1454879015158726e+10
   0.00700	1.6924094546115500e+12	2.9645402450618843e+10
   0.00800	1.5833060844355745e+12	2.7952992996007294e+10
   0.00900	1.4816176635814868e+12	2.6369686911571720e+10
   0.01000	1.3868385236383281e+12	2.4888069247990234e+10
   0.01100	1.2988137443326482e+12	2.3501230724351906e+10
   0.01200	1.2178834682909707e+12	2.2202416980019257e+10
   0.01300	1.1424262556833638e+12	2.0984533511728287e+10
   0.01400	1.0719242778400182e+12	1.9842107256044922e+10
   0.01500	1.0060420312323722e+12	1.8770182978204903e+10
   0.01600	9.4467778866327405e+11	1.7764140946972530e+10
   0.01700	8.8787509272760522e+11	1.6819463158309256e+10
   0.01800	8.3493208953667029e+11	1.5931588065581650e+10
   0.01900	7.8532349839022241e+11	1.5096655976044979e+10
   0.02000	7.3884221446920459e+11	1.4311332477654757e+10
   0.02100	6.9540947787032837e+11	1.3572490263185553e+10
   0.02200	6.5505633766369128e+11	1.2877080785315224e+10
   0.02300	6.1743030291147400e+11	1.2222024447651533e+10
   0.02400	5.8208043444376904e+11	1.1604594144740059e+10
   0.02500	5.4887019928425793e+11	1.1022513710296289e+10
   0.02600	5.1770089926561053e+11	1.0473643511012032e+10
   0.02700	4.8868189910030560e+11	9.9559426117464218e+09
   0.02800	4.6159166888965857e+11	9.4672607126461163e+09
   0.02900	4.3609103196568768e+11	9.0056690437564583e+09
   0.03000	4.1208409301992480e+11	8.5695780117907715e+09
   0.03100	3.8947812024459802e+11	8.1574939187708464e+09
   0.03200	3.6837968182170190e+11	7.7680157985262480e+09
   0.03300	3.4862936742616754e+11	7.3996361167045460e+09
   0.03400	3.3001397646482898e+11	7.0510067492783785e+09
   0.03500	3.1245224668953101e+11	6.7209927728135490e+09
   0.03600	2.9588506668158344e+11	6.4085405261240177e+09
   0.03700	2.8036702960266455e+11	6.1126554594424343e+09
   0.03800	2.6582101964001010e+11	5.8322884298397694e+09
   0.03900	2.5209285381244540e+11	5.5664674101997595e+09
   0.04000	2.3911379547851639e+11	5.3143745563873138e+09
   0.04100	2.2684343564168414e+11	5.0752607609087973e+09
   0.04200	2.1529579515504721e+11	4.8484173252671127e+09
   0.04300	2.0448027501529178e+11	4.6331215301120653e+09
   0.04400	1.9425639251786176e+11	4.4286412550967731e+09
   0.04500	1.8457353077775882e+11	4.2343848625789113e+09
   0.04600	1.7540127163848294e+11	4.0498113318011527e+09
   0.04700	1.6672342139866519e+11	3.8744100601626697e+09
   0.04800	1.5861243746651843e+11	3.7076866387640042e+09
   0.04900	1.5092258536275290e+11	3.5490742012974858e+09
   0.05000	1.4363499990681506e+11	3.3981516159347329e+09
   0.05100	1.3672158256704982e+11	3.2545166160279179e+09
   0.05200	1.3016761005488376e+11	3.1177950334608679e+09
   0.05300	1.2402046021141057e+11	2.9876274234059839e+09
   0.05400	1.1819283402285536e+11	2.8636069631945734e+09
   0.05500	1.1265441926119357e+11	2.7454141291717181e+09
   0.05600	1.0739106221031578e+11	2.6327597099105244e+09
   0.05700	1.0239561334800838e+11	2.5253686477002087e+09
   0.05800	9.7686299201884644e+10	2.4229730343522005e+09
   0.05900	9.3229506102002533e+10	2.3252867351503158e+09
   0.06000	8.8987534311470230e+10	2.2320572290483131e+09
   0.06100	8.4949753067949249e+10	2.1430696947368431e+09
   0.06200	8.1110591331886978e+10	2.0581199416688938e+09
   0.06300	7.7477490450552673e+10	1.9770093503370068e+09
   0.06400	7.4040993553493301e+10	1.8995318598864541e+09
   0.06500	7.0765849599367844e+10	1.8254908663329608e+09
   0.06600	6.7644541020117409e+10	1.7547250167335930e+09
   0.06700	6.4670545652363342e+10	1.6870804757134755e+09
   0.06800	6.1850387623610939e+10	1.6224099300611122e+09
   0.06900	5.9182055660889320e+10	1.5605595424375012e+09
   0.07000	5.6635244589685036e+10	1.5013774867766118e+09
   0.07100	5.4204511004361343e+10	1.4447422421869268e+09
   0.07200	5.1884624406242134e+10	1.3905377311825655e+09
   0.07300	4.9681710428101692e+10	1.3386531067763233e+09
   0.07400	4.7592862588979881e+10	1.2889713963482215e+09
   0.07500	4.5599419979276894e+10	1.2413785337592416e+09
   0.07600	4.3694234479467064e+10	1.1957791137799647e+09
   0.07700	4.1873398653854553e+10	1.1520848793004975e+09
   0.07800	4.0140313096646538e+10	1.1102114806466429e+09
   0.07900	3.8494151220314835e+10	1.0700711675499964e+09
   0.08000	3.6923265950878090e+10	1.0315770163296815e+09
   0.08100	3.5420378683228767e+10	9.9465375037880337e+08
   0.08200	3.3982470453009880e+10	9.5923337169557464e+08
   0.08300	3.2610017212402302e+10	9.2525090124256480e+08
   0.08400	3.1305961944419415e+10	8.9264088403016245e+08
   0.08500	3.0060464609272278e+10	8.6133492208574307e+08
   0.08600	2.8867417747500980e+10	8.3127445747647083e+08
   0.08700	2.7724642886000412e+10	8.0240703972896981e+08
   0.08800	2.6630490042623940e+10	7.7468239684296942e+08
   0.08900	2.5592279452922565e+10	7.4805190680034542e+08
   0.09000	2.4599263018121883e+10	7.2245962734742284e+08
   0.09100	2.3646936259871098e+10	6.9786036432930100e+08
   0.09200	2.2733655106406116e+10	6.7421342806942987e+08
